pos	name	on_panda	affiliations
1	Qi Zhang	YES	Department of Hepatobiliary and Pancreatic Surgery, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China. ;; Zhejiang Provincial Key Laboratory of Pancreatic Disease, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China. ;; MOE Joint International Research Laboratory of Pancreatic Diseases, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.
2	Jianpeng Zhang		Alibaba DAMO Academy, Hangzhou, Zhejiang, China. ;; Hupan Laboratory, Hangzhou, Zhejiang, China. ;; College of Computer Science and Technology, Zhejiang University, Hangzhou, Zhejiang, China.
3	Weiwei Cao		Alibaba DAMO Academy, Hangzhou, Zhejiang, China. ;; Hupan Laboratory, Hangzhou, Zhejiang, China. ;; College of Computer Science and Technology, Zhejiang University, Hangzhou, Zhejiang, China.
4	Zilin Lu		Alibaba DAMO Academy, Hangzhou, Zhejiang, China. ;; Department of Radiology, Ningbo No. 2 Hospital, Ningbo, Zhejiang, China.
5	Wanxing Chang		Alibaba DAMO Academy, Hangzhou, Zhejiang, China. ;; Hupan Laboratory, Hangzhou, Zhejiang, China.
6	Haonan Ding		Department of Hepatobiliary and Pancreatic Surgery, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.
7	Cao Chen		Department of Hepatobiliary and Pancreatic Surgery, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.
8	Zhi Li		Department of Radiology, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.
9	Xing Xue		Department of Radiology, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.
10	Sinuo Wang		Australian Institute for Machine Learning, Adelaide University, Adelaide SA, Australia.
11	Shaoteng Zhang		Alibaba DAMO Academy, Hangzhou, Zhejiang, China. ;; Department of Radiology, Ningbo No. 2 Hospital, Ningbo, Zhejiang, China.
12	Yutong Xie		Department of Computer Vision, Mohamed bin Zayed University of Artificial Intelligence, Masdar City, Abu Dhabi, United Arab Emirates.
13	Yong Xia		Department of Radiology, Ningbo No. 2 Hospital, Ningbo, Zhejiang, China.
14	Qi Wu		Australian Institute for Machine Learning, Adelaide University, Adelaide SA, Australia.
15	Zhongyi Shui		College of Computer Science and Technology, Zhejiang University, Hangzhou, Zhejiang, China.
16	Xi Li		College of Computer Science and Technology, Zhejiang University, Hangzhou, Zhejiang, China.
17	Zhilin Zheng		Alibaba DAMO Academy, Hangzhou, Zhejiang, China. ;; Hupan Laboratory, Hangzhou, Zhejiang, China.
18	Yanjie Zhou		Alibaba DAMO Academy, Hangzhou, Zhejiang, China. ;; Hupan Laboratory, Hangzhou, Zhejiang, China. ;; College of Computer Science and Technology, Zhejiang University, Hangzhou, Zhejiang, China.
19	Tony C W Mok		Alibaba DAMO Academy, Hangzhou, Zhejiang, China. ;; Hupan Laboratory, Hangzhou, Zhejiang, China.
20	Yingda Xia	YES	Alibaba DAMO Academy, Washington, DC, USA.
21	Hongkan Wang		Department of Hepatobiliary and Pancreatic Surgery, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.
22	Xianghua Ye		Department of Radiation Oncology, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.
23	Tao Ma		Department of Hepatobiliary and Pancreatic Surgery, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China. ;; Department of General Surgery, The First Division Hospital of Xinjiang Production and Construction Corps, Akesu, Xinjiang, China.
24	Jie Peng		Department of Radiology, The First Division Hospital of Xinjiang Production and Construction Corps, Akesu, Xinjiang, China.
25	Xiaoguang Wang		Department of Surgery, Affiliated Hospital of Jiaxing University, Jiaxing, Zhejiang, China.
26	Jian Ding		Department of Radiology, Affiliated Hospital of Jiaxing University, Jiaxing, Zhejiang, China.
27	Yuming Gao		Department of General Surgery, Jixi County People's Hospital, Xuancheng, Anhui, China.
28	Huazhen Ye		Department of Radiology, People's Hospital of Jingning She Autonomous County, Lishui, Zhejiang, China.
29	Yiping Liu		Department of Radiology, Shengzhou People's Hospital, Shaoxing, Zhejiang, China.
30	Dongjie Chen		Department of General Surgery, Haining People's Hospital, Jiaxing, Zhejiang, China.
31	Zhaomin Ni		Department of Radiology, Anji County People's Hospital, Huzhou, Zhejiang, China.
32	Jianwen Ning		Department of Emergency, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.
33	Wei Zhang		Department of Hepatobiliary and Pancreatic Surgery, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China. ;; Department of General Surgery, The First People's Hospital of Yuhang District, Hangzhou, Zhejiang, China.
34	Jian Liu		Department of Surgical Oncology, The People's Hospital of Beilun District, Ningbo, Zhejiang, China.
35	Chaohui Yu		Department of Gastroenterology, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.
36	Shenghong Ju		Nurturing Center of Jiangsu Province for State Laboratory of AI Imaging & Interventional Radiology (Southeast University); Department of Radiology, Zhongda Hospital, Medical School of Southeast University, Nanjing, Jiangsu, China.
37	Jianfeng Zhang		Alibaba DAMO Academy, Hangzhou, Zhejiang, China. ;; Hupan Laboratory, Hangzhou, Zhejiang, China.
38	Wenbo Xiao		Department of Radiology, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.
39	Ling Zhang	YES	Alibaba DAMO Academy, Washington, DC, USA.
40	Tingbo Liang	YES	Department of Hepatobiliary and Pancreatic Surgery, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China. ;; Zhejiang Provincial Key Laboratory of Pancreatic Disease, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China. ;; MOE Joint International Research Laboratory of Pancreatic Diseases, The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.
